16/3       | Invalid Number                                      | No
16/3       | Not Interested                                      | No
16/3       | RNR                                                  | No
16/3       | Budget Issue, Not Interested                         | No
16/3       | RNR                                                  | No
16/3       | RNR                                                  | No
17/3       | Share details on Whatsapp will have a look and get...| Yes
17/3       | Looking For Residential Property at Kokapet           | Yes
17/3       | Number Out of Service                                | No
17/3       | RNR                                                  | No
17/3       | RNR                                                  | No
17/3       | Not Interested                                      | No
17/3       | Not Interested                                      | No
22/3       | Exsisting Lead                                       | No
22/3       | Exsisting Lead                                       | No
22/3       | Invalid Number                                      | No
22/3       | Looking For Residential Property                     | Yes
22/3       | Busy, Will Call Back                                 | Yes
22/3       | Busy                                                | Yes
22/3       | Customer asked to share details on Whatsapp           | Yes
22/3       | Customer asked to share details on Whatsapp, SVP St...| Yes
22/3       | RNR                                                  | No
22/3       | Looking For Residential Property                     | Yes
22/3       | RNR                                                  | No
22/3       | RNR                                                  | No
22/3       | RNR                                                  | No
22/3       | RNR                                                  | No
22/3       | RNR                                                  | No
22/3       | RNR                                                  | No
22/3       | Busy                                                | Yes
22/3       | Looking For 500 to 600 sft for Own Office            | Yes
22/3       | Did not Enquire, Do Not Call, Not Interested          | No
22/3       | Took Details over the Call, was asking for a pre te...| Yes
22/3       | Customer took details over the Call, Budget Issue     | Yes
22/3       | RNR, Customer said he will Call Back                  | No
22/3       | Not Interested                                      | No
22/3       | RNR                                                  | No
22/3       | No Incoming Calls                                   | No
22/3       | Not Reachable                                       | No
22/3       | Not Interested, Looking for Open Plots                | No
22/3       | No Network                                          | No
22/3       | Did not Enquire, Not Interested                       | No
22/3       | Not Interested                                      | No
22/3       | Busy, Call Later                                    | Yes
22/3       | Busy, Call Later                                    | Yes
22/3       | Not Interested                                      | No
22/3       | Busy                                                | Yes
22/3       | Switched Off                                       | No
22/3       | Not Interested                                      | No
22/3       | Not Interested                                      | No
22/3       | RNR                                                  | No
22/3       | RNR                                                  | No
22/3       | Looking For Residential Property                     | Yes
22/3       | Customer took details over the Call, Budget Issue     | Yes
22/3       | Not Interested                                      | No
22/3       | Number Out of Service                                | No
23/3       | Customer said he will Call Back                      | Yes
23/3       | He is looking for Showroom Space                      | Yes
23/3       | Customer Disconnected the Call                        | No
23/3       | RNR                                                  | No
23/3       | RNR                                                  | No
23/3       | Customer Disconnected the Call as he heard Vamsiram...| No
23/3       | Busy                                                | Yes
23/3       | Not Reachable                                       | No
23/3       | Customer took all the details over the call, he sa...| Yes
23/3       | Busy, Call back later                                | Yes
23/3       | Busy, Call back later                                | Yes
23/3       | Switched Off                                       | No
23/3       | Not Interested                                      | No
23/3       | Busy                                                | Yes
23/3       | Busy, Call back later                                | Yes
23/3       | Customer Disconnected the Call as he heard Vamsiram...| No
23/3       | RNR                                                  | No
23/3       | Customer Disconnected the Call as he heard Vamsiram...| No
23/3       | Customer took details over the Call, Budget Issue     | Yes
23/3       | Looking for a Retails Space for Cafe                  | Yes
23/3       | Looking for Investment, SVP Friday, Call Back on Th...| Yes
23/3       | Not Interested, Budget Issue                          | No
23/3       | RNR                                                  | No
23/3       | Looking For Residential Property                     | Yes
23/3       | Looking For Residential Property                     | Yes
23/3       | RNR                                                  | No
23/3       | Not Interested                                      | No
23/3       | Busy, Call back later                                | Yes
23/3       | Not Interested                                      | No
24/3       | RNR, RNR                                            | No
24/3       | He is a Vendor                                      | No
24/3       | RNR                                                  | No
24/3       | Looking for 1000 sft Own Office Space                | Yes
24/3       | RNR                                                  | No
25/3       | Customer Disconnected the Call as he heard Vamsira...| No
25/3       | RNR                                                  | No
25/3       | Busy                                                | Yes
25/3       | Customer took details over the Call, Budget Issue     | Yes
26/3       | Not Interested                                      | No
26/3       | Customer took details over the Call said he will th...| Yes
29/3       | RNR, Not Interested                                 | No
29/3       | Looking for Residential Property                     | Yes
29/3       | Not Interested                                      | No
29/3       | RNR                                                  | No
29/3       | RNR                                                  | No
29/3       | Not Interested                                      | No
29/3       | Invalid Number                                      | No
29/3       | Busy, Customer asked to share details on Whatsapp     | Yes
29/3       | Busy                                                | Yes
29/3       | No Network, Looking for 3000 sft own office space,...| Yes
29/3       | Looking for Residential Property                     | Yes
29/3       | RNR                                                  | No
29/3       | Not Interested, Budget Issue                         | No
29/3       | Looking for Residential Property                     | Yes
29/3       | Not Interested                                      | No
29/3       | He is a CP                                          | No
29/3       | Took details over the call she is a doctor looking...| Yes
29/3       | Not Interested, Budget Issue                         | No
29/3       | Out Of Service                                      | No
29/3       | Not Interested                                      | No
29/3       | Customer took details over the call, he his out of...| Yes
29/3       | Not Interested, Budget Issue                         | No
29/3       | Call Back Tomorrow at Hospital                       | Yes
29/3       | Call Auto Disconnecting                             | No
29/3       | Not Interested                                      | No
29/3       | Old Lead already in touch with Customer              | No
29/3       | RNR                                                  | No
29/3       | Looking for 2000 sqft Own Office                     | Yes
29/3       | RNR                                                  | No
29/3       | Not Interested                                      | No
29/3       | Busy                                                | Yes
29/3       | Not Interested, Budget Issue                         | No
31/3       | Call Back in the Evening                             | Yes
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | (Call Declined)                                      | No
16/12/22   | Looking in Suchitra Area only (Not showed any Inte...| Yes
16/12/22   | Asked to Call Later as they're busy now              | Yes
16/12/22   | Asked to Call Later as they're busy now              | Yes
16/12/22   | (Call Declined)                                      | No
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | Asked to send project details (Sent from Company's...| Yes
16/12/22   | Call does not connect (Kindly Check the Number)      | No
16/12/22   | Asked to send project details (Sent from Company's...| Yes
16/12/22   | Asked to send project details (Sent from Company's...| Yes
16/12/22   | Asked to send project details (Sent from Company's...| Yes
16/12/22   | CREDAI Customer (Call Not Lifted)                    | No
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | Asked to send project details (WA number yet to re...| Yes
16/12/22   | (Call Declined)                                      | No
16/12/22   | Asked to send project details (WA number yet to re...| Yes
16/12/22   | (Call Declined)                                      | No
16/12/22   | Asked to send project details (Sent from Company's...| Yes
16/12/22   | No Response (Call Not Lifted)                       | No
16/12/22   | Asked to send project details (Sent from Company's...| Yes
16/12/22   | No Response (Busy in Other Calls)                    | No
16/12/22   | Not Interested in Kandlakoya or Medchal Locations.   | No
16/12/22   | No Response (Call is not connecting)                 | No
16/12/22   | No Response (Call Not Lifted)                       | No
20/12/22   | (Call Declined)                                      | No
20/12/22   | No Response (Call Not Lifted)                       | No
20/12/22   | No Interest in buying any property right now         | No
20/12/22   | No Response (Busy in Other Calls)                    | No
20/12/22   | Not Interested to buy property around here           | No
20/12/22   | Asked to send project details (Sent from Company's...| Yes
20/12/22   | No Response (Call Not Lifted)                       | No
20/12/22   | Asked to send project details (Sent from Company's...| Yes
20/12/22   | (Call Declined)                                      | No
20/12/22   | No Response (Call Not Lifted)                       | No
20/12/22   | No Response (Call Not Lifted)                       | No
20/12/22   | Asked to send project details (Sent from Company's...| Yes
20/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | Wrong Number                                         | No
22/12/22   | Asked to Call Later                                  | Yes
22/12/22   | (Call Declined)                                      | No
22/12/22   | (Call Declined)                                      | No
22/12/22   | No Response (Call Not Lifted); Call back received ...| No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | Asked to send project details (Sent from Company's...| Yes
22/12/22   | (Call Declined)                                      | No
22/12/22   | No Interest shown saying she was very busy           | No
22/12/22   | Asked to send project details (Sent from Company's...| Yes
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | Asked to send project details (Sent from Company's...| Yes
22/12/22   | Not at all Interested                                 | No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | He said he'll call later as he was outstation         | Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | Known Customer, He's yet to decide whether to buy ...| No
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | Call Not Connecting                                  | No
22/12/22   | Not Interested to buy property around here           | No
22/12/22   | He said he'll call later as she was outstation       | Yes
22/12/22   | Call Busy                                           | Yes
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | (Call Declined)                                      | No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | asked to send project details (Waiting for his Wha...| Yes
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | Call Busy                                           | Yes
22/12/22   | (Call Declined)                                      | No
22/12/22   | Not Interested to buy property around here           | No
22/12/22   | Not Interested to buy property around here           | No
22/12/22   | (Call Declined)                                      | No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | asked to send project details (Waiting for his Wha...| Yes
22/12/22   | asked to send project details (Waiting for his Wha...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | Call Not Connecting                                  | No
22/12/22   | Not Interested to buy property around here           | No
22/12/22   | He said he'll call later as she was outstation       | Yes
22/12/22   | Call Busy                                           | Yes
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | (Call Declined)                                      | No
22/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
22/12/22   | asked to send project details (Sent from Company's...| Yes
23/12/22   | (Call Declined)                                      | No
23/12/22   | Not even looking to buy any project in Telangana      | No
23/12/22   | No Response (Call Not Lifted)                       | No
23/12/22   | No Response (Call Not Lifted); Called back and as...| Yes
23/12/22   | (Call Declined)                                      | No
23/12/22   | Incoming Calls restricted as No Valid Plan           | No
23/12/22   | No Response (Call Not Lifted)                       | No
22/12/22   | asked to send project details (Sent from Company's...| Yes
23/12/22   | No Response (Call Not Lifted)                       | No
23/12/22   | Asked to Call Later                                  | Yes
23/12/22   | No Response (Call Not Lifted)                       | No
05/01/23   | Not at all searched for any property online         | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | Switch Off                                          | No
05/01/23   | Switch Off                                          | No
05/01/23   | Not in Network Coverage area                        | No
05/01/23   | Not Interested to buy any property now               | No
05/01/23   | Number does not Exist                               | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | Not Interested to buy any property now               | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | Line Busy                                           | No
05/01/23   | Not at all searched for any property online         | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | Switch Off                                          | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | Said he'll call later if required as he was Out S...| Yes
05/01/23   | Said he's busy in Travelling & Declined the Call      | No
05/01/23   | Line Busy                                           | No
05/01/23   | Already bought another property                      | No
05/01/23   | Not Interested to buy property around this Area      | No
05/01/23   | Not Interested to buy property around this Area      | No
05/01/23   | Temporarily Calls restricted                         | No
05/01/23   | Line Busy                                           | No
05/01/23   | Line Busy                                           | No
05/01/23   | Not in Network Coverage area                        | No
05/01/23   | Number is Out of Service                            | No
05/01/23   | Not Interested to buy property around this Area      | No
05/01/23   | Old Customer                                       | No
05/01/23   | Line Busy                                           | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | Line Busy                                           | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | Temporarily Calls restricted                         | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | Already bought another property                      | No
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | Line Busy                                           | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | Switched off while on Call                           | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | No Response (Call Not Lifted)                       | No
05/01/23   | Line Busy                                           | No
05/01/23   | (Call Declined)                                      | No
05/01/23   | Sent Project Details from Company's phone             | Yes
05/01/23   | asked to send project details (Sent from Company's...| Yes
05/01/23   | No Response (Call Not Lifted)                     | No
05/01/23   | Asked to send project details (Sent from Company's...| Yes
05/01/23   | Asked to send project details (Sent from Company's...| Yes
05/01/23   | Line Busy                                          | No
05/01/23   | No Requirement                                     | No
05/01/23   | Asked to send project details (Sent from Company's...| Yes
05/01/23   | Sent Project Details from Company's phone           | Yes
05/01/23   | Sent Project Details from Company's phone           | Yes
05/01/23   | No Response (Call Not Lifted)                     | No
05/01/23   | Sent Project Details from Company's phone           | Yes
05/01/23   | No Response (Call Not Lifted)                     | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Call Not Connecting                                | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Declined                                     | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Number does not exist                             | No
21/01/23   | Call Not Connecting                                | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Marketing Agent                                   | No
21/01/23   | Number Error/Call Not Connecting                   | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Not Interested                                    | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not Connecting                                | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Line Busy                                          | No
21/01/23   | Not Interested                                    | No
21/01/23   | Line Busy                                          | No
21/01/23   | Not Interested                                    | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Not Interested                                    | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not reachable                                | No
21/01/23   | Sent Project Details from Company's phone; Not In...| Yes
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Call Not reachable                                | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Not Interested                                    | No
21/01/23   | Not Interested                                    | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Declined                                     | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Call Not Lifted; Not Interested                    | No
21/01/23   | Not Sure he enquired any property                  | No
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Sent Project Details from Company's phone           | Yes
21/01/23   | Not Interested                                    | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | Not Interested                                    | No
21/01/23   | Line Busy                                          | No
21/01/23   | Call Not Lifted                                   | No
21/01/23   | TEST ENQUIRY                                        | No
21/01/23   | Not answering the call                             | No
21/01/23   | He is in Office and will call back shortly          | Yes
21/01/23   | Not answering the call                             | No
21/01/23   | Not interested Signed up by mistake                | No
21/01/23   | Asked to send details in WhatsApp                   | Yes
21/01/23   | Customers seem to be interested and now not responding | Yes
21/01/23   | Customer already visited and not in that range     | No
21/01/23   | Customer is from Ongole and asked to send details in WhatsApp | Yes
21/01/23   | From Thirupati not interested in Ongole             | No
21/01/23   | From Hyderabad not interested in Ongole             | No
21/01/23   | By mistake not interested                           | No
21/01/23   | from Vijayawada not interested                       | No
21/01/23   | Number does not exist                               | No
21/01/23   | Switch off                                          | No
21/01/23   | Out of network                                     | No
21/01/23   | Number does not exist                               | No
21/01/23   | Asked to share details in WhatsApp                   | Yes
21/01/23   | Not responding                                     | No
21/01/23   | Not responding                                     | No
21/01/23   | Looking for Hyderabad property. June video sent      | Yes
21/01/23   | Warm, Ongole also okay                              | Yes
21/01/23   | Looking for Hyderabad property. June video sent      | Yes
21/01/23   | Incoming stopped - no WhatsApp                      | No
21/01/23   | Looking for Hyderabad property - employee in construction company - Ongole also okay... | Yes
21/01/23   | Looking for Hyderabad property. June video sent - talk in English & Marwadi... | Yes
21/01/23   | Finalized another property                          | No
21/01/23   | Vizag, not interested, shared June video           | No
21/01/23   | Looking for Hyderabad property. June video sent, AR links | Yes
21/01/23   | Not interested, shared June video, AR links          | No
21/01/23   | SSK Infra, Bachupally. He is also a builder, cool - not shared any content... | Yes
21/01/23   | Looking for Hyderabad property. June video, AR links | Yes
21/01/23   | Disconnected. Share June video & AR links            | Yes
21/01/23   | Not interested                                     | No
21/01/23   | SWITCH OFF - 2, CONTENT SHARED                      | Yes
21/01/23   | SWITCH OFF - 2, CONTENT SHARED                      | Yes
21/01/23   | BUSY, CONTENT SHARED                               | Yes
21/01/23   | LOOKING IN HYD, CONTENT SHARED                       | Yes
21/01/23   | NOT INTERESTED                                    | No
21/01/23   | LOOKING PROP IN HYD - ENQUIRED WRONGLY              | No
21/01/23   | NOT ATTENDED - 2, CONTENT SHARED                   | Yes
21/01/23   | LOOKING PROP IN HYD                                | Yes
21/01/23   | NOT INTERESTED                                    | No
21/01/23   | EXPLAINED ALL DETAILS. NEUTRAL , LATER NOT INTERESTED | No
21/01/23   | LOOKING FOR PROP IN VIZAG / HYD                    | Yes
21/01/23   | NOT ATTENDED - 2, CONTENT SHARED                   | Yes
21/01/23   | NOT ATTENDED - 2, CONTENT SHARED                   | Yes
21/01/23   | LOOKING PROPERTY IN KADAPA                        | Yes
21/01/23   | NOT ATTENDED - 3                                  | No
21/01/23   | REPEAT                                            | No
21/01/23   | REPEAT                                            | No
21/01/23   | BUSY                                              | No
21/01/23   | BY MISTAKE ENQUIRY, CONTENT SHARED                 | Yes
21/01/23   | NO NUMBER                                         | No
21/01/23   | NOT REQUIRED                                      | No
21/01/23   | NOT ATTENDED, CONTENT SHARED                       | Yes
21/01/23   | CONTENT SHARED.                                  | Yes
21/01/23   | IGNORED 910 & TRIED. NOT ATTENDED. CONTENT SHARED | Yes
21/01/23   | DISCONNECTED. CONTENT SHARED                      | Yes
21/01/23   | CALL ON 9TH SEPT 3:00 PM                          | Yes
21/01/23   | 1.5CR IN VIZAG, HYD. IN 2-3 MONTHS                | Yes
21/01/23   | LOOKING IN HYD, 1.5CR BUDGET                      | Yes
21/01/23   | NOT ATTENDED-2 CONTENT SHARED. Out of coverage area | Yes
21/01/23   | NOT ATTENDED-2 CONTENT SHARED, call at 8 PM, 27.8.2023 | Yes
21/01/23   | NOT INTERESTED                                   | No
21/01/23   | LOOKING IN HYD, 1.5CR BUDGET IN 2 MONTHS. ALREADY KNOW ABOUT SVV. & SREEKARI... | Yes
21/01/23   | NOT ATTENDED. CONTENT SHARED                      | Yes
21/01/23   | ARROGANT. I MAY ASK 10CR. JUST SHARE CONTENT. WILL CHECK & CALL. INTERESTED IN HYD PROPERTY | Yes
21/01/23   | CALL ON 9TH SEPT 11:00 AM                         | Yes
21/01/23   | LOOKING IN HYD                                    | Yes
21/01/23   | POCHARAM, HYD, 55-60L, READY TO MOVE.             | Yes
21/01/23   | NOT INTERESTED IN OGL. REF BROTHER                | No
21/01/23   | NOT ATTENDED - 2, CONTENT SHARED                  | Yes
21/01/23   | WON'T COME TO OGL. NOT REQ                        | No
21/01/23   | CALL IN OCTOBER 1ST WEEK                          | Yes
21/01/23   | NOT INTERESTED                                   | No
21/01/23   | WIFE ATTENDED CALL LOOKING IN KOLLUR              | Yes
21/01/23   | NOT INTERESTED IN OGL                            | No
21/01/23   | LOOKING IN HYD, SHARE CONTENT                     | Yes
21/01/23   | BUSY                                             | No
21/01/23   | NOT ATTENDED                                     | No
21/01/23   | No response                                   | No
21/01/23   | Will install the app                          | Yes
21/01/23   | Will install the app                          | Yes
21/01/23   | If there is any need will definitely call back | Yes
21/01/23   | Will install the app                          | Yes
21/01/23   | No response                                   | No
21/01/23   | Will Call us back if there is requirement     | Yes
21/01/23   | Don't require, Not interested                 | No
21/01/23   | No response                                   | No
21/01/23   | Will install app and check                    | Yes
21/01/23   | I have checked app, Not interested             | No
21/01/23   | Out of network                                | No
21/01/23   | Asked to send details through text             | Yes
21/01/23   | Installing app and will book soon              | Yes
21/01/23   | Installing app and will book soon              | Yes
21/01/23   | Not in service                                | No
21/01/23   | Okay, will do it                               | Yes
21/01/23   | Not interested                                | No
21/01/23   | Will install app                              | Yes
21/01/23   | okay will check                                | Yes
21/01/23   | Will install app                              | Yes
21/01/23   | Will install app                              | Yes
21/01/23   | Out of network area                           | No
21/01/23   | No response                                   | No
21/01/23   | Will install app                              | Yes
21/01/23   | Will install app                              | Yes
21/01/23   | Not interested                                | No
21/01/23   | D'zire, Next month will book, asked to give estimate share of servicing | Yes
21/01/23   | Has installed but didn't find his bike make    | No
21/01/23   | Currently no requirement in future will do it | No
21/01/23   | Not interested                                | No
21/01/23   | Will install app                              | Yes
21/01/23   | will install app                              | Yes
21/01/23   | Was checking                                  | No
21/01/23   | Asked to follow up on Saturday                 | Yes
21/01/23   | Not interested                                | No
21/01/23   | Asked to send application link, will install  | Yes
21/01/23   | Don't have a vehicle                         | No
21/01/23   | Will check application                         | Yes
21/01/23   | Not Interested                                | No
21/01/23   | In future will do it                         | No
21/01/23   | Will check                                   | Yes
21/01/23   | Will look into the application                 | Yes
21/01/23   | Wants to develop his own application like this | Yes
21/01/23   | Asked to follow up on 1st week of March         | Yes
21/01/23   | Will install the app                          | Yes
21/01/23   | Has his own service center                     | No
21/01/23   | he said he will book soon                     | Yes
21/01/23   | will call if there is any issue                | Yes
21/01/23   | If there is any requirement will surely book   | Yes
21/01/23   | will use in future                             | Yes
21/01/23   | will use in future                             | Yes
21/01/23   | will use in future                             | Yes
21/01/23   | will use in future                             | Yes
21/01/23   | not interested                                | No
21/01/23   | no response                                   | No
21/01/23   | will install the app                          | Yes
21/01/23   | will try in future                            | Yes
21/01/23   | will use in future                            | Yes
21/01/23   | not interested                                | No
21/01/23   | Not connecting the call                       | No
21/01/23   | RNR                                          | No
21/01/23   | Busy                                         | No
21/01/23   | RNR                                          | No
21/01/23   | Looking for dining table & sofa sets (Readymade) | Yes
21/01/23   | Customer need Curtain track channel & need leather-like sofa fabrics with price (Don't know the file name) | Yes
21/01/23   | Not interested, looking for pure leather fabric | No
21/01/23   | Switch off                                   | No
21/01/23   | RNR                                          | No
21/01/23   | Busy                                         | No
21/01/23   | Switch off                                   | No
21/01/23   | Line busy                                   | No
21/01/23   | Looking for sofa fabric for the living area, need Catalogs (Hyd) | Yes
21/01/23   | RNR                                          | No
21/01/23   | Busy with some work, will call after 5 pm | Yes
21/01/23   | RNR                                          | No
21/01/23   | RNR                                          | No
21/01/23   | Just saw the website, currently not interested | No
21/01/23   | Already purchased from the manufacturer   | Yes
21/01/23   | RNR                                          | No
21/01/23   | Switch off                                   | No
21/01/23   | Switch off                                   | No
